payment_id,user_id,payment_date,amount,product_type
202,927,2026-03-29,2990,Год
203,928,2026-04-25,2990,Год
204,934,2026-04-01,2990,Год
205,935,2026-02-22,490,Месяц
206,944,2026-04-07,490,Месяц
207,946,2026-02-10,2990,Год
208,949,2026-03-12,2990,Год
209,951,2026-02-28,2990,Год
210,953,2026-01-25,2990,Год
211,954,2026-03-13,490,Месяц
212,956,2026-04-09,2990,Год
213,964,2026-03-13,2990,Год
214,966,2026-04-17,2990,Год
215,971,2026-02-21,2990,Год
216,978,2026-04-01,490,Месяц
217,990,2026-02-19,2990,Год
218,996,2026-04-14,2990,Год
